fpl_game_week,season,count,team,fpl_gw,date,team_goals,opponent_goals,scored,conceded
1,2018-2019,1,Arsenal,1,2018-08-12,0.0,2.0,1.342468012760213,1.9415223414894158
2,2018-2019,1,Arsenal,2,2018-08-18,2.0,3.0,1.2313644402841626,1.9392990417363345
3,2018-2019,1,Arsenal,3,2018-08-25,3.0,1.0,2.2084626254924027,0.9974501673553698
4,2018-2019,1,Arsenal,4,2018-09-02,3.0,2.0,1.6766642123044824,1.149755813233373
5,2018-2019,1,Arsenal,5,2018-09-15,2.0,1.0,1.7742208097017693,1.3225797150678629
6,2017-2018,1,Arsenal,6,2017-09-25,2.0,0.0,1.9506333320942062,0.8317221038568127
6,2018-2019,1,Arsenal,6,2018-09-23,2.0,0.0,2.0019490766213504,0.9023473973001098
7,2017-2018,1,Arsenal,7,2017-10-01,2.0,0.0,2.201323435953599,0.5884662228332281
7,2018-2019,1,Arsenal,7,2018-09-29,2.0,0.0,1.9955411348903203,0.8091293040027605
8,2017-2018,1,Arsenal,8,2017-10-14,1.0,2.0,1.985179378222163,1.0779657558636848
8,2018-2019,1,Arsenal,8,2018-10-07,5.0,1.0,2.1856846380787753,1.0998255927325278
9,2017-2018,1,Arsenal,9,2017-10-22,5.0,2.0,1.7554105120773882,1.2636652998795577
9,2018-2019,1,Arsenal,9,2018-10-22,3.0,1.0,1.8926720839372293,1.0401443128604155
10,2017-2018,1,Arsenal,10,2017-10-28,2.0,1.0,2.247625099935352,0.6196163240959774
10,2018-2019,1,Arsenal,10,2018-10-28,2.0,2.0,1.6550750635674123,1.101722270738876
11,2017-2018,1,Arsenal,11,2017-11-05,1.0,3.0,1.2732540802307961,2.329401631906206
11,2018-2019,1,Arsenal,11,2018-11-03,1.0,1.0,1.4704006088010997,1.7596443928559937
12,2017-2018,1,Arsenal,12,2017-11-18,2.0,0.0,1.5072251093237483,1.6268427716042988
12,2018-2019,1,Arsenal,12,2018-11-11,1.0,1.0,2.0757933742381995,0.9483860362694986
13,2017-2018,1,Arsenal,13,2017-11-26,1.0,0.0,1.6958425985290615,1.1857706681919626
13,2018-2019,1,Arsenal,13,2018-11-25,2.0,1.0,1.6748026057489196,1.5631849653261618
14,2017-2018,1,Arsenal,14,2017-11-29,5.0,0.0,2.3973404758541825,0.26344165212496784
14,2018-2019,1,Arsenal,14,2018-12-02,4.0,2.0,1.7518519425730337,1.5963963094953748
15,2017-2018,1,Arsenal,15,2017-12-02,1.0,3.0,1.831572253286814,1.3918965485811985
15,2018-2019,1,Arsenal,15,2018-12-05,2.0,2.0,1.5178106119742825,1.9100173679229453
16,2017-2018,1,Arsenal,16,2017-12-10,1.0,1.0,1.8125319055099605,1.1841418251085447
16,2018-2019,1,Arsenal,16,2018-12-08,1.0,0.0,2.160148915446944,0.4736257136513443
17,2017-2018,1,Arsenal,17,2017-12-13,0.0,0.0,2.0118786101751787,0.9591114597624321
17,2018-2019,1,Arsenal,17,2018-12-16,2.0,3.0,1.8382276159810846,0.948063809950913
18,2017-2018,1,Arsenal,18,2017-12-16,1.0,0.0,2.4991150647380405,0.4778133172311704
18,2018-2019,1,Arsenal,18,2018-12-22,3.0,1.0,2.3205519358765287,0.5672512568756879
19,2017-2018,1,Arsenal,19,2017-12-22,3.0,3.0,1.8237087596102264,1.518517157733224
19,2018-2019,1,Arsenal,19,2018-12-26,1.0,1.0,1.7543282880244786,0.9650251804566233
20,2017-2018,1,Arsenal,20,2017-12-28,3.0,2.0,1.7021862963258707,1.265624744532747
20,2018-2019,1,Arsenal,20,2018-12-29,1.0,5.0,1.0038452972364185,2.1481983041023747
21,2017-2018,1,Arsenal,21,2017-12-31,1.0,1.0,1.67179272119103,0.989307055668517
21,2018-2019,1,Arsenal,21,2019-01-01,4.0,1.0,2.0238347570792277,0.7190188450254397
22,2017-2018,1,Arsenal,22,2018-01-03,2.0,2.0,1.3165763531477652,1.6340588638291347
22,2018-2019,1,Arsenal,22,2019-01-12,0.0,1.0,1.8842327647866082,1.424631880695113
23,2017-2018,1,Arsenal,23,2018-01-14,1.0,2.0,1.8231099503176078,1.3420055876851005
23,2018-2019,1,Arsenal,23,2019-01-19,2.0,0.0,1.4881065801749744,1.5836539452062788
24,2017-2018,1,Arsenal,24,2018-01-20,4.0,1.0,1.8039497342554138,1.0620864121113867
24,2018-2019,1,Arsenal,24,2019-01-29,2.0,1.0,2.3033353575326427,0.5136120499173977
25,2017-2018,1,Arsenal,25,2018-01-30,1.0,3.0,1.9416415360654926,1.0587216788070275
25,2018-2019,1,Arsenal,25,2019-02-03,1.0,3.0,1.1703014226054633,2.276292218741661
26,2017-2018,1,Arsenal,26,2018-02-03,5.0,1.0,2.1757101682897044,0.9944430060635263
26,2018-2019,1,Arsenal,26,2019-02-09,2.0,1.0,2.1155025319776266,0.6702552212480518
27,2017-2018,1,Arsenal,27,2018-02-10,0.0,1.0,1.1256116700811631,2.249572177981167
27,2018-2019,1,Arsenal,27,2019-02-24,2.0,0.0,2.0593007950752837,0.7688122371560254
28,2017-2018,1,Arsenal,28,2018-03-01,0.0,3.0,1.3172463303675197,1.9493489884718698
28,2018-2019,1,Arsenal,28,2019-02-27,5.0,1.0,2.1245423315221523,0.9000055103954612
29,2017-2018,1,Arsenal,29,2018-03-04,1.0,2.0,1.5926050246852705,1.3514674208071134
29,2018-2019,1,Arsenal,29,2019-03-02,1.0,1.0,1.3954743494566357,1.8563211525069485
30,2017-2018,1,Arsenal,30,2018-03-11,3.0,0.0,1.828529200575867,0.9744870055350305
30,2018-2019,1,Arsenal,30,2019-03-10,2.0,0.0,1.761802244550092,1.581472817395716
32,2017-2018,1,Arsenal,32,2018-04-01,3.0,0.0,2.0756320249935256,0.7302003145525687
32,2018-2019,1,Arsenal,32,2019-04-01,2.0,0.0,2.207732731417634,1.011854803859939
33,2017-2018,1,Arsenal,33,2018-04-08,3.0,2.0,2.0994676022989833,0.6838266400363856
33,2018-2019,1,Arsenal,33,2019-04-07,0.0,1.0,1.6920043886835963,1.2594756596520298
34,2017-2018,1,Arsenal,34,2018-04-15,1.0,2.0,1.6246350541152201,1.263270204872338
34,2018-2019,1,Arsenal,34,2019-04-15,1.0,0.0,1.9339886615429291,1.2077773244928574
